State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,429,2010,Rabi,Sunflower,2.9,1.9
0,559,2010,Rabi,Sunflower,1.0,0.5
1,24,1997,Kharif,Sunflower,35900.0,11100.0
1,24,1997,Rabi,Sunflower,30100.0,11100.0
1,24,1998,Kharif,Sunflower,21300.0,12200.0
1,24,1998,Rabi,Sunflower,13500.0,3300.0
1,24,2000,Kharif,Sunflower,30606.0,24590.0
1,24,2001,Kharif,Sunflower,51610.0,33580.0
1,24,2002,Kharif,Sunflower,60319.0,22149.0
1,24,2003,Kharif,Sunflower,74525.0,29572.0
1,24,2004,Kharif,Sunflower,56819.0,34209.0
1,24,2004,Rabi,Sunflower,27228.0,9530.0
1,24,2005,Whole Year,Sunflower,48677.0,8401.0
1,24,2006,Whole Year,Sunflower,60751.0,23561.0
1,24,2007,Kharif,Sunflower,19000.0,10000.0
1,24,2007,Rabi,Sunflower,26000.0,20000.0
1,24,2008,Whole Year,Sunflower,42268.0,26305.0
1,24,2009,Whole Year,Sunflower,55286.0,33503.0
1,24,2010,Whole Year,Sunflower,17615.0,14072.0
1,24,2011,Whole Year,Sunflower,13277.0,12094.0
1,24,2012,Kharif,Sunflower,6121.0,5197.0
1,24,2012,Rabi,Sunflower,4459.0,1904.0
1,24,2013,Kharif,Sunflower,8109.0,6698.0
1,24,2013,Rabi,Sunflower,5911.0,2879.0
1,24,2014,Kharif,Sunflower,5066.0,1180.0
1,24,2014,Rabi,Sunflower,3386.0,1642.0
1,122,1997,Kharif,Sunflower,1300.0,600.0
1,122,1997,Rabi,Sunflower,900.0,400.0
1,122,1998,Kharif,Sunflower,1000.0,700.0
1,122,1998,Rabi,Sunflower,800.0,300.0
1,122,1999,Kharif,Sunflower,1207.0,700.0
1,122,2000,Kharif,Sunflower,535.0,449.0
1,122,2001,Kharif,Sunflower,1358.0,1177.0
1,122,2002,Kharif,Sunflower,2098.0,1320.0
1,122,2003,Kharif,Sunflower,2563.0,1488.0
1,122,2004,Kharif,Sunflower,3154.0,1822.0
1,122,2004,Rabi,Sunflower,1912.0,1115.0
1,122,2005,Whole Year,Sunflower,2445.0,1436.0
1,122,2006,Whole Year,Sunflower,5492.0,3852.0
1,122,2007,Kharif,Sunflower,1000.0,
1,122,2007,Rabi,Sunflower,5000.0,6000.0
1,122,2008,Whole Year,Sunflower,3183.0,2015.0
1,122,2009,Whole Year,Sunflower,3280.0,2647.0
1,122,2010,Whole Year,Sunflower,1048.0,578.0
1,122,2011,Whole Year,Sunflower,1342.0,927.0
1,122,2012,Kharif,Sunflower,82.0,62.0
1,122,2012,Rabi,Sunflower,812.0,414.0
1,122,2013,Kharif,Sunflower,66.0,52.0
1,122,2013,Rabi,Sunflower,1078.0,860.0
1,122,2014,Kharif,Sunflower,58.0,29.0
1,122,2014,Rabi,Sunflower,1310.0,1104.0
1,172,1997,Kharif,Sunflower,300.0,200.0
1,172,1998,Kharif,Sunflower,200.0,100.0
1,172,1999,Kharif,Sunflower,10.0,6.0
1,172,2000,Kharif,Sunflower,76.0,84.0
1,172,2001,Kharif,Sunflower,62.0,54.0
1,172,2002,Kharif,Sunflower,210.0,215.0
1,172,2003,Kharif,Sunflower,413.0,459.0
1,172,2004,Kharif,Sunflower,305.0,268.0
1,172,2004,Rabi,Sunflower,291.0,260.0
1,172,2005,Whole Year,Sunflower,573.0,622.0
1,172,2006,Whole Year,Sunflower,348.0,268.0
1,172,2008,Whole Year,Sunflower,326.0,330.0
1,172,2009,Whole Year,Sunflower,1435.0,1399.0
1,172,2010,Whole Year,Sunflower,359.0,446.0
1,172,2011,Whole Year,Sunflower,344.0,365.0
1,172,2012,Rabi,Sunflower,348.0,337.0
1,172,2013,Rabi,Sunflower,412.0,460.0
1,172,2014,Rabi,Sunflower,379.0,365.0
1,217,1997,Kharif,Sunflower,300.0,200.0
1,217,1999,Kharif,Sunflower,23.0,8.0
1,217,2002,Kharif,Sunflower,44.0,48.0
1,217,2003,Kharif,Sunflower,398.0,437.0
1,217,2004,Kharif,Sunflower,260.0,167.0
1,217,2004,Rabi,Sunflower,59.0,53.0
1,217,2005,Whole Year,Sunflower,332.0,377.0
1,217,2006,Whole Year,Sunflower,47.0,38.0
1,217,2008,Whole Year,Sunflower,100.0,101.0
1,217,2009,Whole Year,Sunflower,50.0,49.0
1,217,2010,Whole Year,Sunflower,24.0,30.0
1,217,2011,Whole Year,Sunflower,1.0,1.0
1,217,2012,Rabi,Sunflower,299.0,289.0
1,217,2013,Rabi,Sunflower,16.0,18.0
1,217,2014,Rabi,Sunflower,86.0,83.0
1,274,1997,Kharif,Sunflower,51500.0,27400.0
1,274,1997,Rabi,Sunflower,3300.0,700.0
1,274,1998,Kharif,Sunflower,56100.0,43200.0
1,274,1998,Rabi,Sunflower,14500.0,3600.0
1,274,1999,Kharif,Sunflower,46967.0,29642.0
1,274,2000,Kharif,Sunflower,26671.0,31039.0
1,274,2001,Kharif,Sunflower,42724.0,45269.0
1,274,2002,Kharif,Sunflower,102633.0,50250.0
1,274,2003,Kharif,Sunflower,96050.0,54603.0
1,274,2004,Kharif,Sunflower,50879.0,38011.0
1,274,2004,Rabi,Sunflower,46189.0,34780.0
1,274,2005,Whole Year,Sunflower,77589.0,53949.0
1,274,2006,Whole Year,Sunflower,74177.0,68505.0
1,274,2007,Kharif,Sunflower,6000.0,7000.0
1,274,2007,Rabi,Sunflower,60000.0,70000.0
1,274,2008,Whole Year,Sunflower,93468.0,38470.0
1,274,2009,Whole Year,Sunflower,53688.0,59819.0
1,274,2010,Whole Year,Sunflower,74025.0,17716.0
1,274,2011,Whole Year,Sunflower,62079.0,39749.0
1,274,2012,Kharif,Sunflower,1616.0,338.0
1,274,2012,Rabi,Sunflower,48021.0,19256.0
1,274,2013,Kharif,Sunflower,1139.0,714.0
1,274,2013,Rabi,Sunflower,26486.0,21268.0
1,274,2014,Kharif,Sunflower,1064.0,549.0
1,274,2014,Rabi,Sunflower,14902.0,10536.0
1,335,1997,Kharif,Sunflower,2200.0,1100.0
1,335,1998,Kharif,Sunflower,1200.0,900.0
1,335,2000,Kharif,Sunflower,58.0,77.0
1,335,2001,Kharif,Sunflower,34.0,38.0
1,335,2002,Kharif,Sunflower,21.0,23.0
1,335,2003,Kharif,Sunflower,511.0,600.0
1,335,2004,Kharif,Sunflower,152.0,136.0
1,335,2004,Rabi,Sunflower,152.0,136.0
1,335,2005,Whole Year,Sunflower,152.0,173.0
1,335,2006,Whole Year,Sunflower,136.0,111.0
1,335,2008,Whole Year,Sunflower,42.0,43.0
1,335,2009,Whole Year,Sunflower,268.0,261.0
1,335,2010,Whole Year,Sunflower,76.0,94.0
1,335,2011,Whole Year,Sunflower,38.0,40.0
1,335,2012,Rabi,Sunflower,18.0,17.0
1,335,2013,Rabi,Sunflower,8.0,9.0
1,335,2014,Rabi,Sunflower,15.0,14.0
1,340,1997,Kharif,Sunflower,81700.0,46200.0
1,340,1997,Rabi,Sunflower,61100.0,34300.0
1,340,1998,Kharif,Sunflower,58300.0,46600.0
1,340,1998,Rabi,Sunflower,71200.0,28300.0
1,340,2000,Kharif,Sunflower,98381.0,76276.0
1,340,2001,Kharif,Sunflower,133400.0,106830.0
1,340,2002,Kharif,Sunflower,192119.0,151230.0
1,340,2003,Kharif,Sunflower,216637.0,142013.0
1,340,2004,Kharif,Sunflower,201629.0,106527.0
1,340,2004,Rabi,Sunflower,120469.0,68788.0
1,340,2005,Whole Year,Sunflower,180697.0,106120.0
1,340,2006,Whole Year,Sunflower,174126.0,112494.0
1,340,2007,Kharif,Sunflower,72000.0,44000.0
1,340,2007,Rabi,Sunflower,85000.0,90000.0
1,340,2008,Whole Year,Sunflower,144534.0,113086.0
1,340,2009,Whole Year,Sunflower,140629.0,84432.0
1,340,2010,Whole Year,Sunflower,78213.0,63375.0
1,340,2011,Whole Year,Sunflower,32425.0,21656.0
1,340,2012,Kharif,Sunflower,7499.0,5977.0
1,340,2012,Rabi,Sunflower,23077.0,17354.0
1,340,2013,Kharif,Sunflower,7047.0,5433.0
1,340,2013,Rabi,Sunflower,15040.0,13716.0
1,340,2014,Kharif,Sunflower,4184.0,3397.0
1,340,2014,Rabi,Sunflower,8362.0,10294.0
1,463,1997,Kharif,Sunflower,14100.0,7000.0
1,463,1997,Rabi,Sunflower,600.0,200.0
1,463,1998,Kharif,Sunflower,14300.0,10800.0
1,463,1998,Rabi,Sunflower,800.0,500.0
1,463,1999,Kharif,Sunflower,9922.0,8770.0
1,463,2000,Kharif,Sunflower,4622.0,7021.0
1,463,2001,Kharif,Sunflower,6737.0,7351.0
1,463,2002,Kharif,Sunflower,15013.0,16269.0
1,463,2003,Kharif,Sunflower,19643.0,24570.0
1,463,2004,Kharif,Sunflower,29306.0,34374.0
1,463,2004,Rabi,Sunflower,27871.0,33557.0
1,463,2005,Whole Year,Sunflower,27657.0,39408.0
1,463,2006,Whole Year,Sunflower,38937.0,33417.0
1,463,2007,Kharif,Sunflower,3000.0,2000.0
1,463,2007,Rabi,Sunflower,36000.0,50000.0
1,463,2008,Whole Year,Sunflower,39982.0,40780.0
1,463,2009,Whole Year,Sunflower,23750.0,23312.0
1,463,2010,Whole Year,Sunflower,18503.0,22870.0
1,463,2011,Whole Year,Sunflower,17007.0,18623.0
1,463,2012,Kharif,Sunflower,810.0,612.0
1,463,2012,Rabi,Sunflower,15205.0,15342.0
1,463,2013,Kharif,Sunflower,483.0,381.0
1,463,2013,Rabi,Sunflower,8746.0,10312.0
1,463,2014,Kharif,Sunflower,96.0,116.0
1,463,2014,Rabi,Sunflower,8090.0,7710.0
1,566,1997,Kharif,Sunflower,3000.0,1500.0
1,566,1997,Rabi,Sunflower,200.0,100.0
1,566,1998,Kharif,Sunflower,4100.0,3000.0
1,566,1998,Rabi,Sunflower,300.0,200.0
1,566,1999,Kharif,Sunflower,3754.0,3239.0
1,566,2000,Kharif,Sunflower,2469.0,2634.0
1,566,2001,Kharif,Sunflower,2511.0,2838.0
1,566,2002,Kharif,Sunflower,4565.0,4227.0
1,566,2003,Kharif,Sunflower,13293.0,12845.0
1,566,2004,Kharif,Sunflower,26420.0,14679.0
1,566,2004,Rabi,Sunflower,25302.0,14043.0
1,566,2005,Whole Year,Sunflower,15832.0,7633.0
1,566,2006,Whole Year,Sunflower,11451.0,6113.0
1,566,2007,Kharif,Sunflower,4000.0,3000.0
1,566,2007,Rabi,Sunflower,9000.0,7000.0
1,566,2008,Whole Year,Sunflower,9050.0,5392.0
1,566,2009,Whole Year,Sunflower,3883.0,2903.0
1,566,2010,Whole Year,Sunflower,2704.0,2460.0
1,566,2011,Whole Year,Sunflower,2862.0,1983.0
1,566,2012,Kharif,Sunflower,944.0,714.0
1,566,2012,Rabi,Sunflower,1728.0,1045.0
1,566,2013,Kharif,Sunflower,980.0,772.0
1,566,2013,Rabi,Sunflower,1784.0,1452.0
1,566,2014,Kharif,Sunflower,550.0,666.0
1,566,2014,Rabi,Sunflower,784.0,835.0
1,567,1998,Kharif,Sunflower,100.0,100.0
1,567,1999,Kharif,Sunflower,78.0,68.0
1,567,2000,Kharif,Sunflower,92.0,136.0
1,567,2001,Kharif,Sunflower,71.0,80.0
1,567,2002,Kharif,Sunflower,56.0,61.0
1,567,2003,Kharif,Sunflower,753.0,885.0
1,567,2004,Kharif,Sunflower,1000.0,895.0
1,567,2004,Rabi,Sunflower,1000.0,895.0
1,567,2005,Whole Year,Sunflower,2042.0,2318.0
1,567,2006,Whole Year,Sunflower,3498.0,2844.0
1,567,2007,Rabi,Sunflower,5000.0,7000.0
1,567,2008,Whole Year,Sunflower,2784.0,2817.0
1,567,2009,Whole Year,Sunflower,2466.0,2404.0
1,567,2010,Whole Year,Sunflower,3599.0,4474.0
1,567,2011,Whole Year,Sunflower,2691.0,2852.0
1,567,2012,Rabi,Sunflower,1828.0,1770.0
1,567,2013,Rabi,Sunflower,1591.0,1777.0
1,567,2014,Rabi,Sunflower,1170.0,1127.0
1,625,2003,Kharif,Sunflower,7.0,8.0
1,625,2004,Kharif,Sunflower,53.0,44.0
1,625,2004,Rabi,Sunflower,43.0,38.0
1,625,2005,Whole Year,Sunflower,77.0,87.0
1,625,2006,Whole Year,Sunflower,213.0,171.0
1,625,2007,Rabi,Sunflower,1000.0,2000.0
1,625,2008,Whole Year,Sunflower,350.0,354.0
1,625,2009,Whole Year,Sunflower,282.0,274.0
1,625,2010,Whole Year,Sunflower,408.0,507.0
1,625,2011,Whole Year,Sunflower,547.0,568.0
1,625,2012,Rabi,Sunflower,527.0,510.0
1,625,2013,Kharif,Sunflower,4.0,3.0
1,625,2013,Rabi,Sunflower,246.0,275.0
1,625,2014,Kharif,Sunflower,10.0,12.0
1,625,2014,Rabi,Sunflower,186.0,179.0
1,626,2004,Kharif,Sunflower,2.0,2.0
1,626,2004,Rabi,Sunflower,2.0,2.0
1,626,2005,Whole Year,Sunflower,2.0,2.0
1,626,2006,Whole Year,Sunflower,39.0,32.0
1,626,2008,Whole Year,Sunflower,54.0,55.0
1,626,2009,Whole Year,Sunflower,41.0,40.0
1,626,2010,Whole Year,Sunflower,123.0,153.0
1,626,2011,Whole Year,Sunflower,63.0,65.0
1,626,2012,Rabi,Sunflower,84.0,81.0
1,626,2013,Rabi,Sunflower,56.0,63.0
1,626,2014,Rabi,Sunflower,6.0,6.0
1,633,1997,Kharif,Sunflower,800.0,400.0
1,633,1998,Kharif,Sunflower,700.0,600.0
1,633,1999,Kharif,Sunflower,119.0,105.0
1,633,2000,Kharif,Sunflower,343.0,488.0
1,633,2001,Kharif,Sunflower,437.0,494.0
1,633,2002,Kharif,Sunflower,1610.0,1755.0
1,633,2003,Kharif,Sunflower,2966.0,3485.0
1,633,2004,Kharif,Sunflower,2519.0,2254.0
1,633,2004,Rabi,Sunflower,2517.0,2253.0
1,633,2005,Whole Year,Sunflower,2362.0,2681.0
1,633,2006,Whole Year,Sunflower,2118.0,1721.0
1,633,2007,Rabi,Sunflower,2000.0,3000.0
1,633,2008,Whole Year,Sunflower,2340.0,2368.0
1,633,2009,Whole Year,Sunflower,4049.0,3948.0
1,633,2010,Whole Year,Sunflower,688.0,855.0
1,633,2011,Whole Year,Sunflower,548.0,581.0
1,633,2012,Rabi,Sunflower,575.0,557.0
1,633,2013,Rabi,Sunflower,748.0,836.0
1,633,2014,Rabi,Sunflower,335.0,323.0
2,113,1997,Kharif,Sunflower,51.0,24.0
2,113,1998,Kharif,Sunflower,55.0,20.0
2,157,1997,Kharif,Sunflower,20.0,10.0
2,157,1998,Kharif,Sunflower,20.0,10.0
2,174,1997,Kharif,Sunflower,40.0,30.0
2,174,1998,Kharif,Sunflower,38.0,26.0
2,176,1997,Kharif,Sunflower,22.0,15.0
2,176,1998,Kharif,Sunflower,29.0,13.0
2,353,1997,Kharif,Sunflower,40.0,20.0
2,353,1998,Kharif,Sunflower,35.0,20.0
2,357,1997,Kharif,Sunflower,27.0,10.0
2,357,1998,Kharif,Sunflower,25.0,7.0
2,446,1997,Kharif,Sunflower,70.0,23.0
2,446,1998,Kharif,Sunflower,60.0,20.0
2,580,1997,Kharif,Sunflower,80.0,42.0
2,580,1998,Kharif,Sunflower,77.0,45.0
2,593,1997,Kharif,Sunflower,12.0,2.0
2,593,1998,Kharif,Sunflower,20.0,3.0
2,613,1997,Kharif,Sunflower,4.0,2.0
2,613,1998,Kharif,Sunflower,3.0,2.0
2,614,1997,Kharif,Sunflower,17.0,10.0
2,614,1998,Kharif,Sunflower,15.0,8.0
2,635,1997,Kharif,Sunflower,28.0,16.0
2,635,1998,Kharif,Sunflower,28.0,16.0
2,637,1997,Kharif,Sunflower,37.0,16.0
2,637,1998,Kharif,Sunflower,30.0,15.0
4,29,1997,Rabi,Sunflower,62.0,35.0
4,29,1998,Kharif,Sunflower,2316.0,1297.0
4,29,1999,Kharif,Sunflower,1859.0,1964.0
4,29,2000,Kharif,Sunflower,1912.0,3320.0
4,29,2001,Kharif,Sunflower,1984.0,2444.0
4,29,2002,Kharif,Sunflower,2307.0,3171.0
4,29,2003,Kharif,Sunflower,2044.0,3003.0
4,29,2004,Kharif,Sunflower,1218.0,1734.0
4,29,2005,Kharif,Sunflower,3033.0,4417.0
4,29,2006,Rabi,Sunflower,2870.0,4163.0
4,29,2007,Rabi,Sunflower,3812.0,5451.0
4,29,2008,Rabi,Sunflower,3812.0,5451.0
4,29,2009,Rabi,Sunflower,1911.0,2685.0
4,29,2010,Rabi,Sunflower,2400.0,3442.0
4,29,2011,Rabi,Sunflower,2063.0,2991.0
4,29,2012,Rabi,Sunflower,1193.0,1682.0
4,29,2013,Rabi,Sunflower,537.0,782.0
4,29,2014,Rabi,Sunflower,264.0,337.0
4,31,2003,Kharif,Sunflower,8.0,11.0
4,31,2004,Kharif,Sunflower,18.0,18.0
4,31,2005,Kharif,Sunflower,2.0,2.0
4,31,2007,Rabi,Sunflower,13.0,19.0
4,31,2008,Rabi,Sunflower,13.0,19.0
4,31,2009,Rabi,Sunflower,33.0,46.0
4,31,2010,Rabi,Sunflower,32.0,46.0
4,31,2011,Rabi,Sunflower,34.0,49.0
4,34,1997,Rabi,Sunflower,4.0,4.0
4,34,1998,Kharif,Sunflower,6.0,6.0
4,34,1999,Kharif,Sunflower,325.0,586.0
4,34,2000,Kharif,Sunflower,51.0,75.0
4,34,2001,Kharif,Sunflower,30.0,44.0
4,34,2002,Kharif,Sunflower,3.0,4.0
4,34,2003,Kharif,Sunflower,4.0,6.0
4,34,2007,Rabi,Sunflower,3.0,5.0
4,34,2008,Rabi,Sunflower,3.0,5.0
4,34,2009,Rabi,Sunflower,2.0,3.0
4,53,1997,Rabi,Sunflower,1.0,1.0
4,70,1997,Rabi,Sunflower,752.0,393.0
4,70,1998,Kharif,Sunflower,940.0,867.0
4,70,1999,Kharif,Sunflower,599.0,368.0
4,70,2000,Kharif,Sunflower,167.0,277.0
4,70,2001,Kharif,Sunflower,463.0,526.0
4,70,2002,Kharif,Sunflower,46.0,60.0
4,70,2003,Kharif,Sunflower,3.0,4.0
4,70,2004,Kharif,Sunflower,104.0,144.0
4,70,2005,Kharif,Sunflower,79.0,107.0
4,70,2006,Rabi,Sunflower,138.0,176.0
4,70,2007,Rabi,Sunflower,38.0,52.0
4,70,2008,Rabi,Sunflower,38.0,52.0
4,70,2009,Rabi,Sunflower,6.0,8.0
4,70,2010,Rabi,Sunflower,64.0,92.0
4,70,2011,Rabi,Sunflower,35.0,50.0
4,70,2012,Rabi,Sunflower,4.0,6.0
4,70,2013,Rabi,Sunflower,76.0,109.0
4,70,2014,Rabi,Sunflower,71.0,102.0
4,77,1997,Rabi,Sunflower,789.0,594.0
4,77,1998,Kharif,Sunflower,759.0,599.0
4,77,1999,Kharif,Sunflower,212.0,266.0
4,77,2000,Kharif,Sunflower,258.0,381.0
4,77,2001,Kharif,Sunflower,499.0,697.0
4,77,2002,Kharif,Sunflower,423.0,571.0
4,77,2003,Kharif,Sunflower,338.0,471.0
4,77,2004,Kharif,Sunflower,427.0,626.0
4,77,2005,Kharif,Sunflower,1026.0,1487.0
4,77,2006,Rabi,Sunflower,545.0,759.0
4,77,2007,Rabi,Sunflower,477.0,682.0
4,77,2008,Rabi,Sunflower,477.0,682.0
4,77,2009,Rabi,Sunflower,421.0,591.0
4,77,2010,Rabi,Sunflower,385.0,552.0
4,77,2011,Rabi,Sunflower,442.0,642.0
4,77,2012,Rabi,Sunflower,285.0,415.0
4,77,2013,Rabi,Sunflower,292.0,424.0
4,77,2014,Rabi,Sunflower,260.0,378.0
4,102,1997,Rabi,Sunflower,35.0,26.0
4,102,1998,Kharif,Sunflower,39.0,31.0
4,102,1999,Kharif,Sunflower,56.0,39.0
4,102,2000,Kharif,Sunflower,53.0,82.0
4,102,2001,Kharif,Sunflower,35.0,40.0
4,102,2002,Kharif,Sunflower,34.0,45.0
4,102,2003,Kharif,Sunflower,29.0,36.0
4,102,2004,Kharif,Sunflower,28.0,41.0
4,102,2009,Rabi,Sunflower,3.0,4.0
4,102,2011,Rabi,Sunflower,3.0,4.0
4,102,2012,Rabi,Sunflower,2.0,3.0
4,102,2013,Rabi,Sunflower,3.0,4.0
4,102,2014,Rabi,Sunflower,1.0,1.0
4,135,1997,Rabi,Sunflower,21.0,13.0
4,135,2002,Kharif,Sunflower,56.0,78.0
4,135,2003,Kharif,Sunflower,78.0,114.0
4,135,2004,Kharif,Sunflower,813.0,1194.0
4,135,2005,Kharif,Sunflower,67.0,98.0
4,135,2007,Rabi,Sunflower,17.0,25.0
4,135,2008,Rabi,Sunflower,17.0,25.0
4,135,2009,Rabi,Sunflower,16.0,22.0
4,135,2010,Rabi,Sunflower,9.0,13.0
4,135,2011,Rabi,Sunflower,9.0,13.0
4,135,2012,Rabi,Sunflower,8.0,12.0
4,135,2013,Rabi,Sunflower,10.0,15.0
4,135,2014,Rabi,Sunflower,10.0,15.0
4,202,1997,Rabi,Sunflower,31.0,29.0
4,202,1998,Kharif,Sunflower,31.0,29.0
4,202,1999,Kharif,Sunflower,27.0,18.0
4,202,2000,Kharif,Sunflower,39.0,59.0
4,202,2001,Kharif,Sunflower,29.0,33.0
4,202,2002,Kharif,Sunflower,95.0,128.0
4,202,2003,Kharif,Sunflower,21.0,29.0
4,202,2004,Kharif,Sunflower,42.0,57.0
4,202,2005,Kharif,Sunflower,25.0,33.0
4,202,2006,Rabi,Sunflower,22.0,28.0
4,202,2007,Rabi,Sunflower,16.0,23.0
4,202,2008,Rabi,Sunflower,16.0,23.0
4,202,2009,Rabi,Sunflower,43.0,60.0
4,202,2010,Rabi,Sunflower,14.0,20.0
4,202,2011,Rabi,Sunflower,2.0,2.0
4,202,2012,Rabi,Sunflower,16.0,23.0
4,202,2013,Rabi,Sunflower,1394.0,2016.0
4,202,2014,Rabi,Sunflower,471.0,682.0
4,212,1997,Rabi,Sunflower,8.0,6.0
4,212,1998,Kharif,Sunflower,8.0,6.0
4,212,1999,Kharif,Sunflower,14.0,10.0
4,212,2000,Kharif,Sunflower,8.0,11.0
4,212,2001,Kharif,Sunflower,8.0,9.0
4,212,2002,Kharif,Sunflower,32.0,38.0
4,212,2003,Kharif,Sunflower,19.0,25.0
4,212,2004,Kharif,Sunflower,28.0,40.0
4,257,2000,Kharif,Sunflower,3.0,4.0
4,257,2003,Kharif,Sunflower,2.0,3.0
4,257,2006,Rabi,Sunflower,2.0,3.0
4,261,1997,Rabi,Sunflower,83.0,78.0
4,261,1998,Kharif,Sunflower,48.0,45.0
4,261,1999,Kharif,Sunflower,19.0,11.0
4,261,2000,Kharif,Sunflower,61.0,102.0
4,261,2001,Kharif,Sunflower,92.0,107.0
4,261,2002,Kharif,Sunflower,49.0,62.0
4,261,2003,Kharif,Sunflower,43.0,59.0
4,261,2004,Kharif,Sunflower,23.0,34.0
4,261,2005,Kharif,Sunflower,55.0,77.0
4,261,2006,Rabi,Sunflower,49.0,67.0
4,261,2007,Rabi,Sunflower,14.0,20.0
4,261,2008,Rabi,Sunflower,14.0,20.0
4,261,2009,Rabi,Sunflower,12.0,17.0
4,261,2011,Rabi,Sunflower,3.0,4.0
4,261,2012,Rabi,Sunflower,4.0,6.0
4,261,2013,Rabi,Sunflower,4.0,6.0
4,261,2014,Rabi,Sunflower,3.0,4.0
4,275,1998,Kharif,Sunflower,7.0,6.0
4,275,1999,Kharif,Sunflower,10.0,18.0
4,275,2001,Kharif,Sunflower,7.0,10.0
4,301,1997,Rabi,Sunflower,85.0,43.0
4,301,1998,Kharif,Sunflower,1334.0,714.0
4,301,1999,Kharif,Sunflower,555.0,657.0
4,301,2000,Kharif,Sunflower,201.0,304.0
4,301,2001,Kharif,Sunflower,92.0,102.0
4,301,2002,Kharif,Sunflower,183.0,259.0
4,301,2003,Kharif,Sunflower,668.0,980.0
4,301,2004,Kharif,Sunflower,2030.0,2654.0
4,301,2005,Kharif,Sunflower,1767.0,2488.0
4,301,2006,Rabi,Sunflower,1846.0,2725.0
4,301,2007,Rabi,Sunflower,1606.0,2299.0
4,301,2008,Rabi,Sunflower,1606.0,2299.0
4,301,2009,Rabi,Sunflower,760.0,1068.0
4,301,2010,Rabi,Sunflower,1086.0,1557.0
4,301,2011,Rabi,Sunflower,503.0,733.0
4,301,2012,Rabi,Sunflower,777.0,1143.0
4,301,2014,Rabi,Sunflower,964.0,1401.0
4,306,1997,Rabi,Sunflower,1469.0,839.0
4,306,1998,Kharif,Sunflower,2382.0,2196.0
4,306,1999,Kharif,Sunflower,1055.0,1589.0
4,306,2000,Kharif,Sunflower,1010.0,1144.0
4,306,2001,Kharif,Sunflower,964.0,1317.0
4,306,2002,Kharif,Sunflower,979.0,1351.0
4,306,2003,Kharif,Sunflower,1201.0,1719.0
4,306,2004,Kharif,Sunflower,23.0,33.0
4,306,2005,Kharif,Sunflower,1257.0,1812.0
4,306,2006,Rabi,Sunflower,947.0,1362.0
4,306,2007,Rabi,Sunflower,903.0,1267.0
4,306,2008,Rabi,Sunflower,903.0,1267.0
4,306,2009,Rabi,Sunflower,1074.0,1509.0
4,306,2010,Rabi,Sunflower,1001.0,1435.0
4,306,2011,Rabi,Sunflower,936.0,1361.0
4,306,2012,Rabi,Sunflower,912.0,1324.0
4,306,2013,Rabi,Sunflower,953.0,1386.0
4,306,2014,Rabi,Sunflower,956.0,1390.0
4,317,1997,Rabi,Sunflower,29.0,15.0
4,317,1998,Kharif,Sunflower,26.0,14.0
4,317,1999,Kharif,Sunflower,146.0,135.0
4,317,2001,Kharif,Sunflower,275.0,409.0
4,317,2013,Rabi,Sunflower,424.0,552.0
4,361,1997,Rabi,Sunflower,3028.0,2619.0
4,361,1998,Kharif,Sunflower,4094.0,3541.0
4,361,1999,Kharif,Sunflower,2908.0,2689.0
4,361,2000,Kharif,Sunflower,1394.0,2235.0
4,361,2001,Kharif,Sunflower,1910.0,2285.0
4,361,2002,Kharif,Sunflower,3057.0,3735.0
4,361,2003,Kharif,Sunflower,3158.0,4272.0
4,361,2004,Kharif,Sunflower,3506.0,4991.0
4,361,2005,Kharif,Sunflower,3561.0,4582.0
4,361,2006,Rabi,Sunflower,3373.0,4323.0
4,361,2007,Rabi,Sunflower,5345.0,7100.0
4,361,2008,Rabi,Sunflower,5345.0,7100.0
4,361,2009,Rabi,Sunflower,6276.0,8818.0
4,361,2010,Rabi,Sunflower,5648.0,8099.0
4,361,2011,Rabi,Sunflower,5420.0,7659.0
4,361,2012,Rabi,Sunflower,5077.0,7196.0
4,361,2013,Rabi,Sunflower,3737.0,5323.0
4,361,2014,Rabi,Sunflower,3683.0,5251.0
4,362,1997,Rabi,Sunflower,7.0,4.0
4,362,1998,Kharif,Sunflower,8.0,5.0
4,362,1999,Kharif,Sunflower,68.0,27.0
4,362,2000,Kharif,Sunflower,7.0,7.0
4,362,2001,Kharif,Sunflower,29.0,33.0
4,362,2002,Kharif,Sunflower,15.0,15.0
4,362,2003,Kharif,Sunflower,18.0,19.0
4,362,2004,Kharif,Sunflower,8.0,12.0
4,362,2005,Kharif,Sunflower,3.0,4.0
4,362,2006,Rabi,Sunflower,12.0,16.0
4,362,2007,Rabi,Sunflower,2.0,3.0
4,362,2008,Rabi,Sunflower,2.0,3.0
4,362,2010,Rabi,Sunflower,4.0,6.0
4,362,2011,Rabi,Sunflower,7.0,9.0
4,362,2012,Rabi,Sunflower,4.0,5.0
4,362,2013,Rabi,Sunflower,4.0,5.0
4,399,1997,Rabi,Sunflower,5.0,3.0
4,399,1998,Kharif,Sunflower,6.0,6.0
4,399,1999,Kharif,Sunflower,8.0,8.0
4,399,2000,Kharif,Sunflower,4.0,4.0
4,399,2001,Kharif,Sunflower,10.0,12.0
4,399,2003,Kharif,Sunflower,16.0,23.0
4,399,2004,Kharif,Sunflower,37.0,50.0
