State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,427,2000,Whole Year,Tapioca,40.0,169.0
0,427,2006,Whole Year,Tapioca,52.03,450.0
0,427,2010,Whole Year,Tapioca,69.0,575.0
0,429,2000,Whole Year,Tapioca,160.0,2108.0
0,429,2006,Whole Year,Tapioca,255.0,1420.0
0,429,2010,Whole Year,Tapioca,186.5,1355.0
0,559,2005,Whole Year,Tapioca,254.5,1480.0
0,559,2006,Whole Year,Tapioca,40.0,160.0
0,559,2010,Whole Year,Tapioca,22.5,220.0
1,122,2000,Whole Year,Tapioca,1.0,8.0
1,122,2008,Whole Year,Tapioca,3.0,37.0
1,122,2009,Whole Year,Tapioca,10.0,131.0
1,122,2010,Whole Year,Tapioca,15.0,99.0
1,122,2011,Whole Year,Tapioca,10.0,100.0
1,172,2000,Whole Year,Tapioca,20435.0,159148.0
1,172,2001,Whole Year,Tapioca,16781.0,140038.0
1,172,2002,Whole Year,Tapioca,12264.0,74651.0
1,172,2003,Whole Year,Tapioca,18768.0,117826.0
1,172,2004,Whole Year,Tapioca,19300.0,142087.0
1,172,2005,Whole Year,Tapioca,14660.0,122382.0
1,172,2006,Whole Year,Tapioca,19176.0,205260.0
1,172,2008,Whole Year,Tapioca,16210.0,205202.0
1,172,2009,Whole Year,Tapioca,10765.0,144412.0
1,172,2010,Whole Year,Tapioca,12391.0,82090.0
1,172,2011,Whole Year,Tapioca,12439.0,124228.0
1,172,2012,Kharif,Tapioca,11343.0,208870.0
1,172,2013,Kharif,Tapioca,10383.0,191193.0
1,217,2004,Whole Year,Tapioca,5.0,36.0
1,335,2000,Whole Year,Tapioca,4.0,31.0
1,335,2001,Whole Year,Tapioca,7.0,58.0
1,335,2002,Whole Year,Tapioca,2.0,12.0
1,566,2000,Whole Year,Tapioca,25.0,191.0
1,566,2001,Whole Year,Tapioca,25.0,207.0
1,566,2008,Whole Year,Tapioca,17.0,211.0
1,566,2010,Whole Year,Tapioca,4.0,26.0
1,567,2000,Whole Year,Tapioca,191.0,1462.0
1,567,2001,Whole Year,Tapioca,252.0,2085.0
1,567,2002,Whole Year,Tapioca,228.0,1381.0
1,567,2003,Whole Year,Tapioca,201.0,1262.0
1,567,2004,Whole Year,Tapioca,154.0,1123.0
1,567,2005,Whole Year,Tapioca,189.0,1560.0
1,567,2006,Whole Year,Tapioca,189.0,2005.0
1,567,2008,Whole Year,Tapioca,200.0,644.0
1,567,2009,Whole Year,Tapioca,201.0,630.0
1,567,2010,Whole Year,Tapioca,132.0,384.0
1,567,2011,Whole Year,Tapioca,72.0,414.0
1,567,2012,Kharif,Tapioca,56.0,1031.0
1,567,2013,Kharif,Tapioca,41.0,755.0
1,625,2000,Whole Year,Tapioca,554.0,3005.0
1,625,2001,Whole Year,Tapioca,447.0,2467.0
1,625,2002,Whole Year,Tapioca,407.0,2050.0
1,625,2003,Whole Year,Tapioca,307.0,1927.0
1,625,2004,Whole Year,Tapioca,522.0,2400.0
1,625,2005,Whole Year,Tapioca,356.0,1417.0
1,625,2006,Whole Year,Tapioca,298.0,1155.0
1,625,2008,Whole Year,Tapioca,251.0,915.0
1,625,2009,Whole Year,Tapioca,235.0,893.0
1,625,2010,Whole Year,Tapioca,216.0,1422.0
1,625,2011,Whole Year,Tapioca,176.0,2251.0
1,625,2012,Kharif,Tapioca,125.0,2302.0
1,625,2013,Kharif,Tapioca,89.0,1639.0
1,626,2000,Whole Year,Tapioca,203.0,1567.0
1,626,2001,Whole Year,Tapioca,182.0,1506.0
1,626,2002,Whole Year,Tapioca,226.0,1368.0
1,626,2003,Whole Year,Tapioca,174.0,1092.0
1,626,2004,Whole Year,Tapioca,156.0,1138.0
1,626,2005,Whole Year,Tapioca,76.0,627.0
1,626,2006,Whole Year,Tapioca,69.0,732.0
1,626,2008,Whole Year,Tapioca,29.0,360.0
1,626,2009,Whole Year,Tapioca,5.0,65.0
1,626,2010,Whole Year,Tapioca,16.0,105.0
1,626,2011,Whole Year,Tapioca,12.0,120.0
1,626,2012,Kharif,Tapioca,12.0,221.0
1,633,2000,Whole Year,Tapioca,32.0,245.0
1,633,2002,Whole Year,Tapioca,2.0,12.0
1,633,2008,Whole Year,Tapioca,55.0,683.0
1,633,2009,Whole Year,Tapioca,18.0,235.0
1,633,2010,Whole Year,Tapioca,83.0,547.0
1,633,2011,Whole Year,Tapioca,84.0,840.0
1,633,2012,Kharif,Tapioca,83.0,1528.0
1,633,2013,Kharif,Tapioca,75.0,1381.0
3,41,2005,Whole Year,Tapioca,92.0,649.0
3,41,2006,Whole Year,Tapioca,197.0,1389.0
3,41,2007,Whole Year,Tapioca,142.0,1001.0
3,41,2008,Whole Year,Tapioca,189.0,1332.0
3,41,2009,Whole Year,Tapioca,192.0,1354.0
3,41,2010,Whole Year,Tapioca,210.0,1481.0
3,41,2011,Kharif,Tapioca,275.0,2441.0
3,41,2012,Kharif,Tapioca,240.0,2156.0
3,41,2013,Kharif,Tapioca,320.0,2875.0
3,41,2014,Kharif,Tapioca,320.0,2875.0
3,64,1997,Whole Year,Tapioca,42.0,210.0
3,64,1998,Whole Year,Tapioca,42.0,210.0
3,64,1999,Whole Year,Tapioca,42.0,210.0
3,64,2000,Whole Year,Tapioca,41.0,205.0
3,64,2001,Whole Year,Tapioca,46.0,230.0
3,64,2002,Whole Year,Tapioca,86.0,430.0
3,64,2003,Whole Year,Tapioca,56.0,280.0
3,64,2005,Whole Year,Tapioca,33.0,165.0
3,64,2006,Whole Year,Tapioca,28.0,140.0
3,64,2007,Whole Year,Tapioca,21.0,105.0
3,64,2008,Whole Year,Tapioca,81.0,405.0
3,64,2009,Whole Year,Tapioca,13.0,65.0
3,64,2010,Whole Year,Tapioca,406.0,2030.0
3,64,2011,Kharif,Tapioca,28.0,230.0
3,64,2012,Kharif,Tapioca,22.0,183.0
3,64,2013,Kharif,Tapioca,19.0,158.0
3,64,2014,Kharif,Tapioca,20.0,169.0
3,95,1997,Whole Year,Tapioca,130.0,554.0
3,95,1998,Whole Year,Tapioca,115.0,489.0
3,95,1999,Whole Year,Tapioca,119.0,506.0
3,95,2000,Whole Year,Tapioca,126.0,536.0
3,95,2001,Whole Year,Tapioca,140.0,596.0
3,95,2002,Whole Year,Tapioca,155.0,660.0
3,95,2003,Whole Year,Tapioca,217.0,926.0
3,95,2005,Whole Year,Tapioca,163.0,696.0
3,95,2006,Whole Year,Tapioca,101.0,429.0
3,95,2007,Whole Year,Tapioca,87.0,369.0
3,95,2008,Whole Year,Tapioca,153.0,653.0
3,95,2009,Whole Year,Tapioca,59.0,249.0
