State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,427,2000,Whole Year,Cashewnut,720.0,165.0
0,427,2001,Whole Year,Cashewnut,719.0,192.0
0,427,2002,Whole Year,Cashewnut,719.0,208.0
0,427,2003,Whole Year,Cashewnut,717.0,208.5
0,427,2004,Whole Year,Cashewnut,683.5,197.9
0,427,2005,Whole Year,Cashewnut,450.0,55.8
0,427,2006,Whole Year,Cashewnut,450.0,85.13
0,427,2010,Rabi,Cashewnut,1000.5,260.5
0,429,2000,Whole Year,Cashewnut,80.0,54.0
0,429,2001,Whole Year,Cashewnut,81.0,33.0
0,429,2006,Whole Year,Cashewnut,40.5,44.0
0,429,2010,Rabi,Cashewnut,84.5,39.0
0,559,2002,Whole Year,Cashewnut,81.0,24.0
0,559,2003,Whole Year,Cashewnut,116.5,26.14
0,559,2004,Whole Year,Cashewnut,116.5,25.1
0,559,2005,Whole Year,Cashewnut,118.5,30.22
0,559,2006,Whole Year,Cashewnut,79.5,26.0
0,559,2010,Rabi,Cashewnut,15.0,10.5
1,24,2013,Kharif,Cashewnut,9.0,3.0
1,24,2013,Whole Year,Cashewnut,9.0,3.0
1,24,2014,Kharif,Cashewnut,19.0,7.0
1,122,2000,Whole Year,Cashewnut,126.0,27.0
1,122,2001,Whole Year,Cashewnut,126.0,34.0
1,122,2002,Whole Year,Cashewnut,121.0,15.0
1,122,2003,Whole Year,Cashewnut,124.0,33.0
1,122,2004,Whole Year,Cashewnut,119.0,25.0
1,122,2005,Whole Year,Cashewnut,119.0,32.0
1,122,2006,Whole Year,Cashewnut,117.0,31.0
1,122,2008,Whole Year,Cashewnut,90.0,26.0
1,122,2009,Whole Year,Cashewnut,98.0,29.0
1,122,2010,Whole Year,Cashewnut,100.0,24.0
1,122,2011,Whole Year,Cashewnut,76.0,19.0
1,122,2012,Kharif,Cashewnut,75.0,20.0
1,122,2013,Kharif,Cashewnut,75.0,24.0
1,122,2013,Whole Year,Cashewnut,75.0,24.0
1,122,2014,Kharif,Cashewnut,86.0,30.0
1,172,2000,Whole Year,Cashewnut,33588.0,4608.0
1,172,2001,Whole Year,Cashewnut,34634.0,5151.0
1,172,2002,Whole Year,Cashewnut,34227.0,975.0
1,172,2003,Whole Year,Cashewnut,34019.0,3304.0
1,172,2004,Whole Year,Cashewnut,33657.0,2902.0
1,172,2005,Whole Year,Cashewnut,33257.0,5280.0
1,172,2006,Whole Year,Cashewnut,31774.0,7660.0
1,172,2008,Whole Year,Cashewnut,33248.0,6982.0
1,172,2009,Whole Year,Cashewnut,33459.0,9737.0
1,172,2010,Whole Year,Cashewnut,34581.0,6120.0
1,172,2011,Whole Year,Cashewnut,33233.0,6329.0
1,172,2012,Kharif,Cashewnut,31533.0,6559.0
1,172,2013,Kharif,Cashewnut,30402.0,7753.0
1,172,2013,Whole Year,Cashewnut,30402.0,7753.0
1,172,2014,Kharif,Cashewnut,29608.0,15159.0
1,217,2000,Whole Year,Cashewnut,97.0,21.0
1,217,2001,Whole Year,Cashewnut,150.0,41.0
1,217,2002,Whole Year,Cashewnut,150.0,19.0
1,217,2003,Whole Year,Cashewnut,150.0,40.0
1,217,2004,Whole Year,Cashewnut,159.0,34.0
1,217,2005,Whole Year,Cashewnut,159.0,42.0
1,217,2006,Whole Year,Cashewnut,159.0,42.0
1,217,2008,Whole Year,Cashewnut,156.0,45.0
1,217,2009,Whole Year,Cashewnut,166.0,49.0
1,217,2010,Whole Year,Cashewnut,162.0,39.0
1,217,2011,Whole Year,Cashewnut,162.0,42.0
1,217,2012,Kharif,Cashewnut,154.0,42.0
1,217,2013,Kharif,Cashewnut,154.0,49.0
1,217,2013,Whole Year,Cashewnut,154.0,49.0
1,217,2014,Kharif,Cashewnut,152.0,53.0
1,274,2000,Whole Year,Cashewnut,7.0,2.0
1,274,2001,Whole Year,Cashewnut,7.0,2.0
1,274,2002,Whole Year,Cashewnut,7.0,1.0
1,274,2003,Whole Year,Cashewnut,7.0,2.0
1,274,2004,Whole Year,Cashewnut,7.0,2.0
1,274,2005,Whole Year,Cashewnut,7.0,2.0
1,274,2006,Whole Year,Cashewnut,6.0,2.0
1,274,2008,Whole Year,Cashewnut,6.0,2.0
1,274,2009,Whole Year,Cashewnut,6.0,2.0
1,274,2010,Whole Year,Cashewnut,6.0,1.0
1,274,2011,Whole Year,Cashewnut,6.0,2.0
1,274,2012,Kharif,Cashewnut,7.0,2.0
1,274,2013,Kharif,Cashewnut,6.0,2.0
1,274,2013,Whole Year,Cashewnut,6.0,2.0
1,274,2014,Kharif,Cashewnut,6.0,2.0
1,335,2000,Whole Year,Cashewnut,824.0,180.0
1,335,2001,Whole Year,Cashewnut,803.0,220.0
1,335,2002,Whole Year,Cashewnut,478.0,59.0
1,335,2003,Whole Year,Cashewnut,355.0,95.0
1,335,2004,Whole Year,Cashewnut,337.0,72.0
1,335,2005,Whole Year,Cashewnut,307.0,82.0
1,335,2006,Whole Year,Cashewnut,307.0,81.0
1,335,2008,Whole Year,Cashewnut,282.0,82.0
1,335,2009,Whole Year,Cashewnut,259.0,77.0
1,335,2010,Whole Year,Cashewnut,170.0,41.0
1,335,2011,Whole Year,Cashewnut,180.0,46.0
1,335,2012,Kharif,Cashewnut,127.0,34.0
1,335,2013,Kharif,Cashewnut,122.0,38.0
1,335,2013,Whole Year,Cashewnut,122.0,38.0
1,335,2014,Kharif,Cashewnut,115.0,40.0
1,463,2000,Whole Year,Cashewnut,761.0,166.0
1,463,2001,Whole Year,Cashewnut,702.0,193.0
1,463,2002,Whole Year,Cashewnut,687.0,85.0
1,463,2003,Whole Year,Cashewnut,698.0,187.0
1,463,2004,Whole Year,Cashewnut,689.0,147.0
1,463,2005,Whole Year,Cashewnut,648.0,173.0
1,463,2006,Whole Year,Cashewnut,672.0,177.0
1,463,2008,Whole Year,Cashewnut,1060.0,339.0
1,463,2009,Whole Year,Cashewnut,1063.0,316.0
1,463,2010,Whole Year,Cashewnut,1056.0,253.0
1,463,2011,Whole Year,Cashewnut,1078.0,277.0
1,463,2012,Kharif,Cashewnut,1045.0,283.0
1,463,2013,Kharif,Cashewnut,1029.0,324.0
1,463,2013,Whole Year,Cashewnut,1029.0,324.0
1,463,2014,Kharif,Cashewnut,958.0,335.0
1,566,2000,Whole Year,Cashewnut,743.0,162.0
1,566,2001,Whole Year,Cashewnut,665.0,183.0
1,566,2002,Whole Year,Cashewnut,778.0,97.0
1,566,2003,Whole Year,Cashewnut,806.0,216.0
1,566,2004,Whole Year,Cashewnut,733.0,157.0
1,566,2005,Whole Year,Cashewnut,662.0,176.0
1,566,2006,Whole Year,Cashewnut,674.0,178.0
1,566,2008,Whole Year,Cashewnut,479.0,140.0
1,566,2009,Whole Year,Cashewnut,480.0,143.0
1,566,2010,Whole Year,Cashewnut,491.0,118.0
1,566,2011,Whole Year,Cashewnut,453.0,116.0
1,566,2012,Kharif,Cashewnut,390.0,106.0
1,566,2013,Kharif,Cashewnut,393.0,124.0
1,566,2013,Whole Year,Cashewnut,393.0,124.0
1,566,2014,Kharif,Cashewnut,211.0,74.0
1,567,2000,Whole Year,Cashewnut,18571.0,6339.0
1,567,2001,Whole Year,Cashewnut,18901.0,7965.0
1,567,2002,Whole Year,Cashewnut,19080.0,8414.0
1,567,2003,Whole Year,Cashewnut,19494.0,7427.0
1,567,2004,Whole Year,Cashewnut,19902.0,9016.0
1,567,2005,Whole Year,Cashewnut,20240.0,8152.0
1,567,2006,Whole Year,Cashewnut,20943.0,7226.0
1,567,2008,Whole Year,Cashewnut,22971.0,5972.0
1,567,2009,Whole Year,Cashewnut,22971.0,9165.0
1,567,2010,Whole Year,Cashewnut,23355.0,8442.0
1,567,2011,Whole Year,Cashewnut,23897.0,8700.0
1,567,2012,Kharif,Cashewnut,22485.0,8230.0
1,567,2013,Kharif,Cashewnut,22600.0,8543.0
1,567,2013,Whole Year,Cashewnut,22600.0,8543.0
1,567,2014,Kharif,Cashewnut,22111.0,8623.0
1,625,2000,Whole Year,Cashewnut,29540.0,7313.0
1,625,2001,Whole Year,Cashewnut,29675.0,14486.0
1,625,2002,Whole Year,Cashewnut,31179.0,3802.0
1,625,2003,Whole Year,Cashewnut,31045.0,16996.0
1,625,2004,Whole Year,Cashewnut,32611.0,6204.0
1,625,2005,Whole Year,Cashewnut,32029.0,7239.0
1,625,2006,Whole Year,Cashewnut,30626.0,10188.0
1,625,2008,Whole Year,Cashewnut,32516.0,7855.0
1,625,2009,Whole Year,Cashewnut,32264.0,8825.0
1,625,2010,Whole Year,Cashewnut,31731.0,6821.0
1,625,2011,Whole Year,Cashewnut,33639.0,3621.0
1,625,2012,Kharif,Cashewnut,32074.0,7382.0
1,625,2013,Kharif,Cashewnut,32321.0,9599.0
1,625,2013,Whole Year,Cashewnut,32321.0,9599.0
1,625,2014,Kharif,Cashewnut,29367.0,5638.0
1,626,2000,Whole Year,Cashewnut,8266.0,1801.0
1,626,2001,Whole Year,Cashewnut,9138.0,2512.0
1,626,2002,Whole Year,Cashewnut,10741.0,1335.0
1,626,2003,Whole Year,Cashewnut,11179.0,2996.0
1,626,2004,Whole Year,Cashewnut,11434.0,2445.0
1,626,2005,Whole Year,Cashewnut,11686.0,3112.0
1,626,2006,Whole Year,Cashewnut,11686.0,3083.0
1,626,2008,Whole Year,Cashewnut,14874.0,4344.0
1,626,2009,Whole Year,Cashewnut,16343.0,4864.0
1,626,2010,Whole Year,Cashewnut,16477.0,3948.0
1,626,2011,Whole Year,Cashewnut,16430.0,4034.0
1,626,2012,Kharif,Cashewnut,15374.0,4335.0
1,626,2013,Kharif,Cashewnut,15106.0,4955.0
1,626,2013,Whole Year,Cashewnut,15106.0,4955.0
1,626,2014,Kharif,Cashewnut,13642.0,3438.0
1,633,2000,Whole Year,Cashewnut,42702.0,8824.0
1,633,2001,Whole Year,Cashewnut,42195.0,6854.0
1,633,2002,Whole Year,Cashewnut,42464.0,2482.0
1,633,2003,Whole Year,Cashewnut,41674.0,6068.0
1,633,2004,Whole Year,Cashewnut,40257.0,8934.0
1,633,2005,Whole Year,Cashewnut,39890.0,12637.0
1,633,2006,Whole Year,Cashewnut,38718.0,7136.0
1,633,2008,Whole Year,Cashewnut,36541.0,15737.0
1,633,2009,Whole Year,Cashewnut,24633.0,6182.0
1,633,2010,Whole Year,Cashewnut,23379.0,5700.0
1,633,2011,Whole Year,Cashewnut,22134.0,10636.0
1,633,2012,Kharif,Cashewnut,18518.0,6055.0
1,633,2013,Kharif,Cashewnut,17795.0,6406.0
1,633,2013,Whole Year,Cashewnut,17795.0,6406.0
1,633,2014,Kharif,Cashewnut,17678.0,6435.0
8,432,2004,Whole Year,Cashewnut,39987.0,18714.0
8,432,2005,Whole Year,Cashewnut,40109.0,19734.0
8,432,2006,Whole Year,Cashewnut,40282.0,17765.0
8,432,2007,Whole Year,Cashewnut,40508.0,15327.0
8,432,2013,Whole Year,Cashewnut,40712.0,18115.0
8,432,2014,Whole Year,Cashewnut,40819.0,18297.0
8,562,2004,Whole Year,Cashewnut,14871.0,6842.0
8,562,2005,Whole Year,Cashewnut,14912.0,7336.0
8,562,2006,Whole Year,Cashewnut,15020.0,6615.0
8,562,2007,Whole Year,Cashewnut,15104.0,6615.0
8,562,2013,Whole Year,Cashewnut,15224.0,6217.0
8,562,2014,Whole Year,Cashewnut,15260.0,6714.0
14,37,2008,Whole Year,Cashewnut,1.0,0.61
14,37,2009,Whole Year,Cashewnut,1.0,1.0
14,37,2010,Whole Year,Cashewnut,1.0,1.0
14,37,2011,Whole Year,Cashewnut,1.0,1.0
14,37,2012,Whole Year,Cashewnut,2.0,2.0
14,37,2013,Whole Year,Cashewnut,3.0,3.0
14,52,2008,Whole Year,Cashewnut,44.0,27.05
14,52,2009,Whole Year,Cashewnut,159.0,121.0
14,52,2010,Whole Year,Cashewnut,159.0,117.0
14,52,2011,Whole Year,Cashewnut,16.0,13.0
14,52,2012,Whole Year,Cashewnut,21.0,17.0
14,52,2013,Whole Year,Cashewnut,23.0,21.0
14,52,2014,Whole Year,Cashewnut,24.0,18.0
14,71,2008,Whole Year,Cashewnut,634.0,389.78
14,71,2009,Whole Year,Cashewnut,773.0,586.0
14,71,2010,Whole Year,Cashewnut,896.0,657.0
14,71,2011,Whole Year,Cashewnut,796.0,638.0
